Data;SE S2;SE S4;SE S3;SE S3 considerado;Mes;Energia Requerida;Mercado Regulado;Mercado Livre;Perdas;Perdas (%)
2025-02-01 00:05:00;670,90601;792;0,0;0,0;Fev/25;670,90601;792;0,0;-121,09398999999996;-18,04932258692987
2025-02-01 00:10:00;653,10931;792;0,0;0,0;Fev/25;653,10931;792;0,0;-138,89068999999995;-21,266071065500498
2025-02-01 00:15:00;652,0332;792;0,0;0,0;Fev/25;652,0332;792;0,0;-139,96680000000003;-21,466207548940766
2025-02-01 00:20:00;652,08759;768;0,0;0,0;Fev/25;652,08759;768;0,0;-115,91241000000002;-17,775589012512878
2025-02-01 00:25:00;641,89569;768;0,0;0,0;Fev/25;641,89569;768;0,0;-126,10431000000005;-19,645607840114966
2025-02-01 00:30:00;637,41345;744;0,0;0,0;Fev/25;637,41345;744;0,0;-106,58654999999999;-16,721729044154934
2025-02-01 00:35:00;634,95184;744;0,0;0,0;Fev/25;634,95184;744;0,0;-109,04816000000005;-17,174241120397422
2025-02-01 00:40:00;625,14386;744;0,0;0,0;Fev/25;625,14386;744;0,0;-118,85613999999998;-19,01260615436581
2025-02-01 00:45:00;619,61182;720;0,0;0,0;Fev/25;619,61182;720;0,0;-100,38818000000003;-16,20178582132278
2025-02-01 00:50:00;620,2207;744;0,0;0,0;Fev/25;620,2207;744;0,0;-123,77930000000003;-19,95729907112098
2025-02-01 00:55:00;610,93402;720;0,0;0,0;Fev/25;610,93402;720;0,0;-109,06597999999997;-17,852333710275285
2025-02-01 01:00:00;600,47473;720;0,0;0,0;Fev/25;600,47473;720;0,0;-119,52526999999998;-19,905129063466163
2025-02-01 01:05:00;596,00128;696;0,0;0,0;Fev/25;596,00128;696;0,0;-99,99872000000005;-16,778272690957987
2025-02-01 01:10:00;586,28467;720;0,0;0,0;Fev/25;586,28467;720;0,0;-133,71533;-22,807236286768337
2025-02-01 01:15:00;583,34143;696;0,0;0,0;Fev/25;583,34143;696;0,0;-112,65857000000005;-19,312629654986115
2025-02-01 01:20:00;575,14197;672;0,0;0,0;Fev/25;575,14197;672;0,0;-96,85802999999999;-16,84071673642596
2025-02-01 01:25:00;566,20886;696;0,0;0,0;Fev/25;566,20886;696;0,0;-129,79114000000004;-22,922838049549426
2025-02-01 01:30:00;567,25781;672;0,0;0,0;Fev/25;567,25781;672;0,0;-104,74219000000005;-18,464653664266
2025-02-01 01:35:00;562,79083;672;0,0;0,0;Fev/25;562,79083;672;0,0;-109,20916999999997;-19,40493060272499
2025-02-01 01:40:00;557,70166;672;0,0;0,0;Fev/25;557,70166;672;0,0;-114,29834000000005;-20,4945310724017
2025-02-01 01:45:00;552,89789;648;0,0;0,0;Fev/25;552,89789;648;0,0;-95,10211000000004;-17,20066430349373
2025-02-01 01:50:00;552,16162;648;0,0;0,0;Fev/25;552,16162;648;0,0;-95,83838000000003;-17,356943425368833
2025-02-01 01:55:00;553,39526;672;0,0;0,0;Fev/25;553,39526;672;0,0;-118,60473999999999;-21,432192968186968
2025-02-01 02:00:00;548,37262;624;0,0;0,0;Fev/25;548,37262;624;0,0;-75,62738000000002;-13,791239248961777
2025-02-01 02:05:00;541,53339;648;0,0;0,0;Fev/25;541,53339;648;0,0;-106,46660999999995;-19,660211533770784
2025-02-01 02:10:00;544,71753;648;0,0;0,0;Fev/25;544,71753;648;0,0;-103,28246999999999;-18,960739155943813
2025-02-01 02:15:00;545,8277;648;0,0;0,0;Fev/25;545,8277;648;0,0;-102,17229999999995;-18,71878250224383
2025-02-01 02:20:00;548,97491;624;0,0;0,0;Fev/25;548,97491;624;0,0;-75,02508999999998;-13,666396885059825
2025-02-01 02:25:00;547,36621;648;0,0;0,0;Fev/25;547,36621;648;0,0;-100,63378999999998;-18,3850935920944
2025-02-01 02:30:00;546,42651;648;0,0;0,0;Fev/25;546,42651;648;0,0;-101,57348999999999;-18,58868267573621
2025-02-01 02:35:00;545,0163;624;0,0;0,0;Fev/25;545,0163;624;0,0;-78,9837;-14,491988588231214
2025-02-01 02:40:00;539,78992;624;0,0;0,0;Fev/25;539,78992;624;0,0;-84,21007999999995;-15,600528442620778
2025-02-01 02:45:00;536,99329;624;0,0;0,0;Fev/25;536,99329;624;0,0;-87,00671;-16,202569309571818
2025-02-01 02:50:00;537,33289;624;0,0;0,0;Fev/25;537,33289;624;0,0;-86,66710999999998;-16,12912807179921
2025-02-01 02:55:00;529,2572;600;0,0;0,0;Fev/25;529,2572;600;0,0;-70,74279999999999;-13,366431292762758
2025-02-01 03:00:00;531,84705;624;0,0;0,0;Fev/25;531,84705;624;0,0;-92,15295000000003;-17,326964585024967
2025-02-01 03:05:00;530,69299;624;0,0;0,0;Fev/25;530,69299;624;0,0;-93,30700999999999;-17,58210712374399
2025-02-01 03:10:00;522,44519;600;0,0;0,0;Fev/25;522,44519;600;0,0;-77,55480999999997;-14,844583026977427
2025-02-01 03:15:00;524,27673;624;0,0;0,0;Fev/25;524,27673;624;0,0;-99,72326999999996;-19,021113143816233
2025-02-01 03:20:00;529,7605;624;0,0;0,0;Fev/25;529,7605;624;0,0;-94,23950000000002;-17,78907638451716
2025-02-01 03:25:00;529,75854;624;0,0;0,0;Fev/25;529,75854;624;0,0;-94,24145999999996;-17,789512180398255
2025-02-01 03:30:00;522,10669;600;0,0;0,0;Fev/25;522,10669;600;0,0;-77,89331000000004;-14,919040780726261
2025-02-01 03:35:00;519,91638;624;0,0;0,0;Fev/25;519,91638;624;0,0;-104,08362;-20,019300026669672
2025-02-01 03:40:00;519,69836;600;0,0;0,0;Fev/25;519,69836;600;0,0;-80,30164000000002;-15,45158618549422
2025-02-01 03:45:00;519,49335;624;0,0;0,0;Fev/25;519,49335;624;0,0;-104,50665000000004;-20,11703325942479
2025-02-01 03:50:00;519,38696;600;0,0;0,0;Fev/25;519,38696;600;0,0;-80,61303999999996;-15,520805528117215
2025-02-01 03:55:00;515,9884;600;0,0;0,0;Fev/25;515,9884;600;0,0;-84,01160000000004;-16,281683851807532
2025-02-01 04:00:00;510,86511;600;0,0;0,0;Fev/25;510,86511;600;0,0;-89,13488999999998;-17,44783275569553
2025-02-01 04:05:00;510,93478;600;0,0;0,0;Fev/25;510,93478;600;0,0;-89,06522000000001;-17,431817814398936
2025-02-01 04:10:00;512,20825;600;0,0;0,0;Fev/25;512,20825;600;0,0;-87,79174999999998;-17,139854736818467
2025-02-01 04:15:00;511,40121;600;0,0;0,0;Fev/25;511,40121;600;0,0;-88,59879000000001;-17,324712626315453
2025-02-01 04:20:00;510,28284;600;0,0;0,0;Fev/25;510,28284;600;0,0;-89,71715999999998;-17,58184931321617
2025-02-01 04:25:00;510,13782;600;0,0;0,0;Fev/25;510,13782;600;0,0;-89,86218000000002;-17,615275025090284
2025-02-01 04:30:00;510,8374;576;0,0;0,0;Fev/25;510,8374;576;0,0;-65,1626;-12,756035482131885
2025-02-01 04:35:00;510,89493;600;0,0;0,0;Fev/25;510,89493;600;0,0;-89,10507000000001;-17,44097754111594
2025-02-01 04:40:00;514,10406;600;0,0;0,0;Fev/25;514,10406;600;0,0;-85,89594;-16,707889838489116
2025-02-01 04:45:00;514,83344;600;0,0;0,0;Fev/25;514,83344;600;0,0;-85,16656;-16,542546265060018
2025-02-01 04:50:00;511,46643;600;0,0;0,0;Fev/25;511,46643;600;0,0;-88,53357;-17,30975188342273
2025-02-01 04:55:00;507,97641;600;0,0;0,0;Fev/25;507,97641;600;0,0;-92,02359000000001;-18,11572116114605
2025-02-01 05:00:00;506,0238;576;0,0;0,0;Fev/25;506,0238;576;0,0;-69,9762;-13,828638099630888
2025-02-01 05:05:00;502,39771;600;0,0;0,0;Fev/25;502,39771;600;0,0;-97,60228999999998;-19,427295956424636
2025-02-01 05:10:00;500,09985;576;0,0;0,0;Fev/25;500,09985;576;0,0;-75,90015;-15,176999153269092
2025-02-01 05:15:00;497,24612;576;0,0;0,0;Fev/25;497,24612;576;0,0;-78,75387999999998;-15,838007946648228
2025-02-01 05:20:00;498,83545;576;0,0;0,0;Fev/25;498,83545;576;0,0;-77,16455000000002;-15,468938705138141
2025-02-01 05:25:00;502,79169;600;0,0;0,0;Fev/25;502,79169;600;0,0;-97,20830999999998;-19,333714524995425
2025-02-01 05:30:00;508,27115;600;0,0;0,0;Fev/25;508,27115;600;0,0;-91,72885000000002;-18,047227350991697
2025-02-01 05:35:00;507,63077;600;0,0;0,0;Fev/25;507,63077;600;0,0;-92,36923000000002;-18,196144808164412
2025-02-01 05:40:00;510,21881;600;0,0;0,0;Fev/25;510,21881;600;0,0;-89,78118999999998;-17,596605268237756
2025-02-01 05:45:00;513,88544;600;0,0;0,0;Fev/25;513,88544;600;0,0;-86,11455999999998;-16,75754035763301
2025-02-01 05:50:00;521,99115;624;0,0;0,0;Fev/25;521,99115;624;0,0;-102,00885000000005;-19,5422566072241
2025-02-01 05:55:00;519,74951;600;0,0;0,0;Fev/25;519,74951;600;0,0;-80,25049000000001;-15,440224272650111
2025-02-01 06:00:00;504,42578;576;0,0;0,0;Fev/25;504,42578;576;0,0;-71,57422000000003;-14,18924702857178
2025-02-01 06:05:00;508,50793;576;0,0;0,0;Fev/25;508,50793;576;0,0;-67,49207000000001;-13,27256981026825
2025-02-01 06:10:00;494,6463;576;0,0;0,0;Fev/25;494,6463;576;0,0;-81,3537;-16,44684292594527
2025-02-01 06:15:00;491,2175;600;0,0;0,0;Fev/25;491,2175;600;0,0;-108,78250000000003;-22,14548545196375
2025-02-01 06:20:00;498,13492;600;0,0;0,0;Fev/25;498,13492;600;0,0;-101,86507999999998;-20,44929514276975
2025-02-01 06:25:00;499,1658;576;0,0;0,0;Fev/25;499,1658;576;0,0;-76,83420000000001;-15,392520881839264
2025-02-01 06:30:00;499,24817;600;0,0;0,0;Fev/25;499,24817;600;0,0;-100,75182999999998;-20,180710927793683
2025-02-01 06:35:00;502,60471;600;0,0;0,0;Fev/25;502,60471;600;0,0;-97,39528999999999;-19,37810928990299
2025-02-01 06:40:00;506,5874;600;0,0;0,0;Fev/25;506,5874;600;0,0;-93,4126;-18,43958219252986
2025-02-01 06:45:00;504,86737;600;0,0;0,0;Fev/25;504,86737;600;0,0;-95,13263;-18,843093385100328
2025-02-01 06:50:00;494,43701;576;0,0;0,0;Fev/25;494,43701;576;0,0;-81,56299000000001;-16,49613365310174
2025-02-01 06:55:00;492,77481;600;0,0;0,0;Fev/25;492,77481;600;0,0;-107,22519;-21,759470619044023
2025-02-01 07:00:00;502,02774;600;0,0;0,0;Fev/25;502,02774;600;0,0;-97,97226;-19,515308058475018
2025-02-01 07:05:00;512,77533;624;0,0;0,0;Fev/25;512,77533;624;0,0;-111,22466999999995;-21,690721743575285
2025-02-01 07:10:00;546,28711;672;0,0;0,0;Fev/25;546,28711;672;0,0;-125,71289000000002;-23,012238015281017
2025-02-01 07:15:00;581,81543;672;0,0;0,0;Fev/25;581,81543;672;0,0;-90,18457000000001;-15,500546281489994
2025-02-01 07:20:00;575,63971;696;0,0;0,0;Fev/25;575,63971;696;0,0;-120,36028999999996;-20,908962309080444
2025-02-01 07:25:00;587,27795;672;0,0;0,0;Fev/25;587,27795;672;0,0;-84,72204999999997;-14,426226967997005
2025-02-01 07:30:00;593,28918;696;0,0;0,0;Fev/25;593,28918;696;0,0;-102,71082000000001;-17,312100652164265
2025-02-01 07:35:00;587,4657;696;0,0;0,0;Fev/25;587,4657;696;0,0;-108,53430000000003;-18,475002029905752
2025-02-01 07:40:00;584,17682;696;0,0;0,0;Fev/25;584,17682;696;0,0;-111,82317999999998;-19,142009092384043
2025-02-01 07:45:00;585,69861;696;0,0;0,0;Fev/25;585,69861;696;0,0;-110,30138999999997;-18,832448654778258
2025-02-01 07:50:00;603,26453;720;0,0;0,0;Fev/25;603,26453;720;0,0;-116,73546999999996;-19,35062716185219
2025-02-01 07:55:00;599,72595;720;0,0;0,0;Fev/25;599,72595;720;0,0;-120,27404999999999;-20,054835045907215
2025-02-01 08:00:00;604,94678;720;0,0;0,0;Fev/25;604,94678;720;0,0;-115,05322000000001;-19,018734176913878
2025-02-01 08:05:00;607,30939;720;0,0;0,0;Fev/25;607,30939;720;0,0;-112,69060999999999;-18,555716716318184
2025-02-01 08:10:00;615,3656;744;0,0;0,0;Fev/25;615,3656;744;0,0;-128,63440000000003;-20,9037359254401
2025-02-01 08:15:00;626,69226;768;0,0;0,0;Fev/25;626,69226;768;0,0;-141,30773999999997;-22,548186569274044
2025-02-01 08:20:00;625,88428;768;0,0;0,0;Fev/25;625,88428;768;0,0;-142,11572;-22,706389110779394
2025-02-01 08:25:00;635,4646;768;0,0;0,0;Fev/25;635,4646;768;0,0;-132,53539999999998;-20,856456834888988
2025-02-01 08:30:00;651,35315;792;0,0;0,0;Fev/25;651,35315;792;0,0;-140,64684999999997;-21,59302522755896
2025-02-01 08:35:00;651,41754;792;0,0;0,0;Fev/25;651,41754;792;0,0;-140,58245999999997;-21,58100624677683
2025-02-01 08:40:00;651,1203;792;0,0;0,0;Fev/25;651,1203;792;0,0;-140,87969999999996;-21,636508645176622
2025-02-01 08:45:00;648,93134;792;0,0;0,0;Fev/25;648,93134;792;0,0;-143,06866000000002;-22,046810067764646
2025-02-01 08:50:00;646,284;768;0,0;0,0;Fev/25;646,284;768;0,0;-121,71600000000001;-18,833206454128526
2025-02-01 08:55:00;651,68658;792;0,0;0,0;Fev/25;651,68658;792;0,0;-140,31341999999995;-21,53081317095711
2025-02-01 09:00:00;669,06329;816;0,0;0,0;Fev/25;669,06329;816;0,0;-146,93670999999995;-21,961556133202276
2025-02-01 09:05:00;673,97839;792;0,0;0,0;Fev/25;673,97839;792;0,0;-118,02161000000001;-17,51118607823613
2025-02-01 09:10:00;667,77216;792;0,0;0,0;Fev/25;667,77216;792;0,0;-124,22784000000001;-18,60332721867291
2025-02-01 09:15:00;664,1579;816;0,0;0,0;Fev/25;664,1579;816;0,0;-151,84209999999996;-22,862349450334015
2025-02-01 09:20:00;674,38885;816;0,0;0,0;Fev/25;674,38885;816;0,0;-141,61114999999995;-20,998441774356134
2025-02-01 09:25:00;690,3562;816;0,0;0,0;Fev/25;690,3562;816;0,0;-125,64380000000006;-18,199851033423045
2025-02-01 09:30:00;683,48914;840;0,0;0,0;Fev/25;683,48914;840;0,0;-156,51085999999998;-22,89880714125172
2025-02-01 09:35:00;693,40869;792;0,0;0,0;Fev/25;693,40869;792;0,0;-98,59131000000002;-14,218355123296773
2025-02-01 09:40:00;685,32697;816;0,0;0,0;Fev/25;685,32697;816;0,0;-130,67303000000004;-19,067253401686504
2025-02-01 09:45:00;678,91913;792;0,0;0,0;Fev/25;678,91913;792;0,0;-113,08087;-16,65601468616741
2025-02-01 09:50:00;677,7309;816;0,0;0,0;Fev/25;677,7309;816;0,0;-138,26909999999998;-20,401770083081644
2025-02-01 09:55:00;694,39191;840;0,0;0,0;Fev/25;694,39191;840;0,0;-145,60808999999995;-20,969151267905747
2025-02-01 10:00:00;691,19647;792;0,0;0,0;Fev/25;691,19647;792;0,0;-100,80353000000002;-14,583918520301475
2025-02-01 10:05:00;698,16589;840;0,0;0,0;Fev/25;698,16589;840;0,0;-141,83411;-20,315244848183575
2025-02-01 10:10:00;713,7312;864;0,0;0,0;Fev/25;713,7312;864;0,0;-150,26880000000006;-21,05397662313208
2025-02-01 10:15:00;712,93121;864;0,0;0,0;Fev/25;712,93121;864;0,0;-151,06879000000004;-21,189812969472896
2025-02-01 10:20:00;715,80115;864;0,0;0,0;Fev/25;715,80115;864;0,0;-148,19885;-20,70391337035432
2025-02-01 10:25:00;725,60913;864;0,0;0,0;Fev/25;725,60913;864;0,0;-138,39086999999995;-19,072371650009412
2025-02-01 10:30:00;719,59662;864;0,0;0,0;Fev/25;719,59662;864;0,0;-144,40337999999997;-20,06726768672148
2025-02-01 10:35:00;701,24786;816;0,0;0,0;Fev/25;701,24786;816;0,0;-114,75214000000005;-16,36399147086168
2025-02-01 10:40:00;711,62524;840;0,0;0,0;Fev/25;711,62524;840;0,0;-128,37476000000004;-18,039658064966897
2025-02-01 10:45:00;705,69513;840;0,0;0,0;Fev/25;705,69513;840;0,0;-134,30487000000005;-19,031571041166185
2025-02-01 10:50:00;713,37677;840;0,0;0,0;Fev/25;713,37677;840;0,0;-126,62323000000004;-17,749839260956037
2025-02-01 10:55:00;715,02411;840;0,0;0,0;Fev/25;715,02411;840;0,0;-124,97589000000005;-17,478556072745583
2025-02-01 11:00:00;717,44397;864;0,0;0,0;Fev/25;717,44397;864;0,0;-146,55602999999996;-20,4275227234818
2025-02-01 11:05:00;727,69208;864;0,0;0,0;Fev/25;727,69208;864;0,0;-136,30791999999997;-18,731538207754024
2025-02-01 11:10:00;731,94556;864;0,0;0,0;Fev/25;731,94556;864;0,0;-132,05444;-18,041565823556603
2025-02-01 11:15:00;731,68121;864;0,0;0,0;Fev/25;731,68121;864;0,0;-132,31879000000004;-18,084213205365767
2025-02-01 11:20:00;733,97009;864;0,0;0,0;Fev/25;733,97009;864;0,0;-130,02990999999997;-17,715968507654033
2025-02-01 11:25:00;733,92419;864;0,0;0,0;Fev/25;733,92419;864;0,0;-130,07581000000005;-17,723330525459318
2025-02-01 11:30:00;733,05994;888;0,0;0,0;Fev/25;733,05994;888;0,0;-154,94006000000002;-21,13606971893731
